cord_uid;organization;title;doi;license;publish_time;authors;journal;url
4pm572i8;PMC;Intelligent Detection of Information Outliers Using Linguistic Summaries with Non-monotonic Quantifiers;10.1007/978-3-030-50153-2_58;no-cc;16/5/2020;Duraj, Agnieszka- Szczepaniak, Piotr S.- Chomatek, Lukasz;Information Processing and Management of Uncertainty in Knowledge-Based Systems;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7274735/
ge3a1dph;PMC;A Study of the Set of Probability Measures Compatible with Comparative Judgements;10.1007/978-3-030-50143-3_13;no-cc;15/5/2020;Erreygers, Alexander- Miranda, Enrique;Information Processing and Management of Uncertainty in Knowledge-Based Systems;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7274736/
t63jb4vp;PMC;Imprecise Classification with Non-parametric Predictive Inference;10.1007/978-3-030-50143-3_5;no-cc;15/5/2020;Moral, Serafín- Mantas, Carlos J.- Castellano, Javier G.- Abellán, Joaquín;Information Processing and Management of Uncertainty in Knowledge-Based Systems;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7274737/
do22fxcs;PMC;Covariate-Adjusted Hybrid Principal Components Analysis;10.1007/978-3-030-50153-2_30;no-cc;16/5/2020;Scheffler, Aaron Wolfe- Dickinson, Abigail- DiStefano, Charlotte- Jeste, Shafali- ?entürk, Damla;Information Processing and Management of Uncertainty in Knowledge-Based Systems;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7274738/
jz5irxq5;PMC;Tolerance and Control Solutions of Two-Sided Interval Linear System and Their Applications;10.1007/978-3-030-50153-2_33;no-cc;16/5/2020;Leela-apiradee, Worrawate- Thipwiwatpotjana, Phantipa- Gorka, Artur;Information Processing and Management of Uncertainty in Knowledge-Based Systems;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7274739/
0bnlu31s;PMC;Modus Ponens Tollens for RU-Implications;10.1007/978-3-030-50143-3_61;no-cc;15/5/2020;Aguiló, Isabel- Massanet, Sebastia- Riera, Juan Vicente- Ruiz-Aguilera, Daniel;Information Processing and Management of Uncertainty in Knowledge-Based Systems;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7274740/
tcuqt9j8;PMC;On Integral Transforms for Residuated Lattice-Valued Functions;10.1007/978-3-030-50153-2_24;no-cc;16/5/2020;Hol?apek, Michal- Bui, Viec;Information Processing and Management of Uncertainty in Knowledge-Based Systems;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7274741/
spdcb9s5;PMC;A Genetic Approach to the Job Shop Scheduling Problem with Interval Uncertainty;10.1007/978-3-030-50143-3_52;no-cc;15/5/2020;Díaz, Hernán- González-Rodríguez, Inés- Palacios, Juan José- Díaz, Irene- Vela, Camino R.;Information Processing and Management of Uncertainty in Knowledge-Based Systems;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7274742/
0o90qaf7;PMC;Nonlocal Laplace Operator in a Space with the Fuzzy Partition;10.1007/978-3-030-50153-2_22;no-cc;16/5/2020;Záme?níková, Hana- Perfilieva, Irina;Information Processing and Management of Uncertainty in Knowledge-Based Systems;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7274743/
p8c7c382;PMC;Bayesian Smoothing of Decision Tree Soft Predictions and Evidential Evaluation;10.1007/978-3-030-50143-3_28;no-cc;15/5/2020;Sutton-Charani, Nicolas;Information Processing and Management of Uncertainty in Knowledge-Based Systems;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7274744/
